hotel_id,host_id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
2539,2787,40.64749,-73.97237,149,1,9,0.21,6,365
2595,2845,40.75362,-73.98377,225,1,45,0.38,2,355
3647,4632,40.80902,-73.9419,150,3,0,,1,365
3831,4869,40.68514,-73.95976,89,1,270,4.64,1,194
5022,7192,40.79851,-73.94399,80,10,9,0.1,1,0
5099,7322,40.74767,-73.975,200,3,74,0.59,1,129
5121,7356,40.68688,-73.95596,60,45,49,0.4,1,0
5178,8967,40.76489,-73.98493,79,2,430,3.47,1,220
5203,7490,40.80178,-73.96723,79,2,118,0.99,1,0
5238,7549,40.71344,-73.99037,150,1,160,1.33,4,188
5295,7702,40.80316,-73.96545,135,5,53,0.43,1,6
5441,7989,40.76076,-73.98867,85,2,188,1.5,1,39
5803,9744,40.66829,-73.98779,89,4,167,1.34,3,314
6021,11528,40.79826,-73.96113,85,2,113,0.91,1,333
6090,11975,40.7353,-74.00525,120,90,27,0.22,1,0
6848,15991,40.70837,-73.95352,140,2,148,1.2,1,46
7097,17571,40.69169,-73.97185,215,2,198,1.72,1,321
7322,18946,40.74192,-73.99501,140,1,260,2.12,1,12
7726,20950,40.67592,-73.94694,99,3,53,4.44,1,21
7750,17985,40.79685,-73.94872,190,7,0,,2,249
7801,21207,40.71842,-73.95718,299,3,9,0.07,1,0
8024,22486,40.68069,-73.97706,130,2,130,1.09,6,347
8025,22486,40.67989,-73.97798,80,1,39,0.37,6,364
8110,22486,40.68001,-73.97865,110,2,71,0.61,6,304
8490,25183,40.68371,-73.94028,120,2,88,0.73,2,233
8505,25326,40.65599,-73.97519,60,1,19,1.37,2,85
8700,26394,40.86754,-73.92639,80,4,0,,1,0
9357,30193,40.76715,-73.98533,150,10,58,0.49,1,75
9518,31374,40.86482,-73.92106,44,3,108,1.11,3,311
9657,21904,40.7292,-73.98542,180,14,29,0.24,1,67
9668,32294,40.82245,-73.95104,50,3,242,2.04,3,355
9704,32045,40.81305,-73.95466,52,2,88,1.42,1,255
9782,32169,40.72219,-73.93762,55,4,197,1.65,3,284
9783,32294,40.8213,-73.95318,50,3,273,2.37,3,359
10452,35935,40.6831,-73.95473,70,1,74,0.66,2,269
10962,9744,40.66869,-73.9878,89,4,168,1.41,3,340
11452,7355,40.68876,-73.94312,35,60,0,,1,365
11708,44145,40.70186,-73.92745,85,2,231,1.96,2,22
11943,45445,40.63702,-73.96327,150,1,0,,1,365
12048,7549,40.71401,-73.98917,40,1,214,1.81,4,188
12192,46978,40.7229,-73.98199,68,2,245,2.08,2,96
12299,47610,40.66278,-73.97966,120,3,15,0.39,1,345
12303,47618,40.69673,-73.97584,120,7,25,0.23,1,311
12318,16800,40.79009,-73.97927,135,4,81,0.69,1,273
12343,47727,40.81175,-73.94478,150,7,97,0.84,1,309
12627,49670,40.65944,-73.96238,150,29,11,0.49,1,95
12937,50124,40.74771,-73.9474,130,3,248,2.25,1,215
12940,50148,40.68111,-73.95591,110,7,61,0.52,1,265
13050,50846,40.68554,-73.9409,115,3,11,0.1,1,0
13394,52335,40.69142,-73.97376,80,3,135,1.16,2,192
13808,54275,40.68043,-73.93934,80,1,112,1.01,3,251
14287,56094,40.78635,-73.97008,151,2,73,0.63,1,302
14290,56104,40.7042,-73.9356,228,3,82,0.7,1,140
14314,56246,40.73506,-73.95392,144,2,328,2.82,1,234
14322,56284,40.73961,-73.98074,200,7,19,0.22,1,257
14377,56512,40.70881,-73.9593,150,30,105,0.9,1,30
14991,59023,40.72004,-73.99104,110,5,19,0.17,1,301
15220,59734,40.75531,-73.99293,69,2,289,2.49,2,294
15338,32169,40.72401,-73.93788,49,4,138,1.19,3,320
15341,60049,40.7221,-73.99775,180,30,21,0.3,1,154
15385,60252,40.71185,-73.96204,80,2,42,0.38,1,263
15396,60278,40.74623,-73.9953,375,180,5,0.12,1,180
15711,61491,40.77065,-73.95269,250,2,66,0.57,2,231
16326,63588,40.67811,-73.96428,200,30,143,1.33,2,297
16338,63613,40.69,-73.96788,55,7,27,0.23,2,292
16421,63924,40.75979,-73.99119,52,30,191,1.65,1,191
16458,64056,40.67343,-73.98338,225,3,4,0.16,1,0
16580,64442,40.72649,-73.97904,80,1,338,4.72,2,72
16595,64522,40.70933,-73.96792,275,1,148,1.4,1,362
16821,4396,40.72298,-73.98474,99,1,106,1.26,2,336
16974,65837,40.80164,-73.93922,225,4,190,1.64,1,215
17037,66035,40.72162,-73.98008,230,9,49,0.43,1,116
17092,66243,40.76342,-73.98865,51,7,23,0.43,1,88
17693,68428,40.83139,-73.94095,65,2,49,1.6,2,336
17747,68599,40.68346,-73.96374,105,2,105,0.92,1,304
18127,69829,40.72828,-73.98801,190,5,21,0.2,1,224
18152,69942,40.76865,-73.95058,200,1,142,1.5,1,322
18198,70091,40.75038,-73.90334,70,30,25,0.22,1,324
18590,71512,40.6932,-73.97267,95,3,143,1.28,1,132
18728,71876,40.74138,-74.00197,150,3,167,1.65,1,295
18764,72014,40.71154,-73.96112,145,3,61,0.54,4,238
19159,73051,40.82915,-73.95136,110,31,54,0.49,1,209
19169,73128,40.71851,-73.98892,285,5,70,0.62,1,328
19282,73469,40.65401,-73.96323,130,6,16,0.15,1,38
19319,44263,40.7114,-73.98794,94,30,94,0.84,1,188
19601,74303,40.69723,-73.99268,800,1,25,0.24,1,7
19812,74857,40.71833,-73.95748,105,3,61,0.53,1,272
20299,62407,40.72334,-73.9844,60,3,194,1.73,1,26
20300,76627,40.72912,-73.98057,50,1,2,0.05,1,0
20611,72014,40.71156,-73.96218,85,3,174,1.54,4,288
20724,961342,40.70032,-73.9383,65,4,24,0.28,1,317
20734,78460,40.68233,-73.97261,131,4,166,3.4,1,207
20755,51038,40.68634,-73.966,98,7,16,0.2,6,185
20853,79070,40.68035,-73.97162,250,7,21,0.3,1,158
20913,79402,40.70984,-73.95775,100,5,168,1.57,1,0
21293,44145,40.70093,-73.92609,105,3,118,1.05,2,9
21456,42032,40.79764,-73.96177,140,3,81,0.71,1,198
21644,82685,40.82803,-73.94731,89,1,1,0.11,1,365
21794,83257,40.74008,-74.00271,98,30,30,0.27,2,364
22911,87773,40.68413,-73.92357,125,7,139,1.23,2,311
22918,32294,40.82279,-73.95139,60,3,11,0.87,3,219
23135,11481,40.67967,-74.00154,175,2,233,2.09,3,342
23501,63318,40.83927,-73.94281,65,2,68,0.6,1,312
23686,93790,40.73096,-74.00319,500,4,46,0.55,2,243
24143,97219,40.71332,-73.94177,101,3,335,3.02,1,152
24285,97797,40.66941,-73.98109,220,30,88,0.79,1,9
25235,87773,40.68373,-73.92377,125,90,162,1.46,2,137
25406,105538,40.71459,-73.94844,80,30,29,0.4,1,222
25696,107628,40.8092,-73.94421,100,2,170,1.61,1,346
26012,109589,40.68157,-73.98989,200,30,19,0.2,1,208
26362,59734,40.75527,-73.99291,59,2,334,3,2,279
26520,51038,40.68698,-73.96572,125,2,19,0.2,6,250
26559,112793,40.7288,-73.98192,140,7,12,0.13,1,164
26785,42273,40.66853,-73.98912,120,30,467,4.22,2,192
26933,72062,40.7254,-73.98157,350,2,7,0.06,4,298
26954,115157,40.74294,-73.98009,199,5,38,0.38,1,260
26969,115307,40.71942,-73.95748,325,3,324,3.01,1,107
27006,115560,40.77823,-73.97637,235,6,27,0.27,1,199
27385,72062,40.72555,-73.97965,225,1,115,1.05,4,299
27531,118971,40.66831,-73.98604,99,2,354,3.2,3,20
27644,119510,40.82754,-73.94919,170,2,195,2.03,1,318
27659,119588,40.66499,-73.97925,400,2,16,0.24,2,216
27759,119900,40.77842,-73.97556,170,7,13,0.12,1,224
27883,120223,40.72245,-73.98527,100,4,25,0.23,1,0
28321,65091,40.65593,-73.96053,75,2,9,0.08,1,324
28396,6197784,40.71923,-73.96468,90,1,9,0.08,1,245
28907,124352,40.778,-73.94822,150,5,21,0.19,1,189
29012,124797,40.85879,-73.93128,85,15,36,0.33,1,307
29013,35935,40.68332,-73.9547,70,3,63,0.58,2,310
29455,126607,40.81618,-73.94894,120,3,155,1.42,3,213
29628,127608,40.68414,-73.96351,89,3,260,2.35,1,278
29683,125857,40.72392,-73.99143,185,5,73,0.66,1,209
30031,129352,40.73494,-73.9503,50,3,193,1.86,1,0
30927,120335,40.71341,-73.98856,105,3,32,0.29,1,16
31130,117287,40.76754,-73.98399,130,2,50,0.45,3,234
31555,135619,40.73442,-74.00303,115,29,26,0.25,1,12
31902,137292,40.63188,-73.93248,77,2,2,0.02,1,178
31994,137814,40.6873,-73.9634,76,2,426,3.89,3,275
32023,137974,40.68296,-73.93662,125,3,227,2.09,2,163
32037,116599,40.6863,-73.96765,135,4,84,0.77,3,365
